epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,10263.1,0.60638,1.56268,0.90515,0.96245,0,0.86209,0.59401,0.67587,0.59123,0.85136,0.57613,0.65057,0.4993,0.65106,1.60732,0.92849,0.96119,0,0.000505,0.000505,0.000505
52,10458.9,0.60406,1.53368,0.90152,0.95865,0,0.86221,0.5921,0.67639,0.59375,0.86744,0.56836,0.65269,0.50272,0.65049,1.59016,0.90646,0.96031,0,0.0004951,0.0004951,0.0004951
53,10654.7,0.60574,1.54084,0.9035,0.96208,0,0.85999,0.5945,0.67648,0.59333,0.84587,0.58144,0.6528,0.50245,0.65117,1.59061,0.90986,0.95832,0,0.0004852,0.0004852,0.0004852
54,10857.7,0.59453,1.5089,0.8845,0.95324,0,0.85935,0.60039,0.68079,0.59737,0.85264,0.5844,0.65787,0.50525,0.65103,1.59597,0.90955,0.95871,0,0.0004753,0.0004753,0.0004753
55,11053.4,0.59043,1.51465,0.87357,0.9547,0,0.86651,0.59411,0.68028,0.59689,0.85495,0.57881,0.65541,0.50288,0.64999,1.58872,0.90104,0.96188,0,0.0004654,0.0004654,0.0004654
56,11249.2,0.59493,1.51971,0.86381,0.95573,0,0.87874,0.59768,0.68408,0.60219,0.8668,0.58578,0.66135,0.5104,0.64497,1.57699,0.88977,0.95931,0,0.0004555,0.0004555,0.0004555
57,11449.6,0.59253,1.515,0.86452,0.95422,0,0.87661,0.60245,0.68983,0.60799,0.86407,0.58882,0.66562,0.51185,0.64198,1.5743,0.88986,0.96197,0,0.0004456,0.0004456,0.0004456
58,11648.7,0.58693,1.51147,0.85293,0.95318,0,0.86934,0.60837,0.71887,0.63312,0.8566,0.59546,0.6958,0.53077,0.63698,1.57125,0.86559,0.95689,0,0.0004357,0.0004357,0.0004357
59,11847.6,0.5876,1.49697,0.85233,0.9506,0,0.86951,0.61704,0.75478,0.66605,0.86848,0.59257,0.73076,0.56792,0.64253,1.56251,0.85713,0.95873,0,0.0004258,0.0004258,0.0004258
60,12046.4,0.5841,1.4896,0.84331,0.94955,0,0.87879,0.61446,0.72913,0.64365,0.86935,0.59819,0.70514,0.54221,0.63255,1.56136,0.86429,0.95359,0,0.0004159,0.0004159,0.0004159
61,12245.7,0.58262,1.49008,0.84007,0.94963,0,0.8914,0.60551,0.70132,0.61813,0.88182,0.59091,0.6779,0.52099,0.63508,1.55678,0.85535,0.95388,0,0.000406,0.000406,0.000406
62,12447.3,0.57691,1.45531,0.82308,0.94684,0,0.89319,0.60421,0.70692,0.62402,0.88162,0.59035,0.68193,0.52641,0.63305,1.55528,0.84711,0.95272,0,0.0003961,0.0003961,0.0003961
63,12642.5,0.58145,1.46514,0.81607,0.94758,0,0.89371,0.61294,0.73213,0.6454,0.88246,0.59557,0.70753,0.54814,0.63411,1.55684,0.83633,0.95693,0,0.0003862,0.0003862,0.0003862
64,12845.6,0.58017,1.48843,0.83074,0.94879,0,0.87988,0.62281,0.70435,0.62168,0.87219,0.60382,0.68064,0.52793,0.62617,1.5432,0.82654,0.95103,0,0.0003763,0.0003763,0.0003763
65,13042.8,0.58289,1.47902,0.82575,0.95056,0,0.89016,0.62232,0.72992,0.64503,0.88324,0.6046,0.70703,0.54415,0.62929,1.53524,0.82095,0.95143,0,0.0003664,0.0003664,0.0003664
66,13242.5,0.58295,1.48683,0.82149,0.94756,0,0.75217,0.70618,0.73218,0.64809,0.73922,0.69199,0.71045,0.54623,0.62311,1.53396,0.81799,0.94903,0,0.0003565,0.0003565,0.0003565
67,13442.8,0.56933,1.44036,0.79779,0.94063,0,0.76619,0.70394,0.73146,0.6461,0.75111,0.68776,0.70836,0.54531,0.62551,1.53786,0.81841,0.94692,0,0.0003466,0.0003466,0.0003466
68,13639.1,0.57057,1.46124,0.80994,0.94284,0,0.88697,0.62028,0.73981,0.65565,0.88071,0.60612,0.71677,0.55264,0.62073,1.52977,0.80611,0.94439,0,0.0003367,0.0003367,0.0003367
69,13839,0.57527,1.46539,0.79918,0.94635,0,0.86287,0.65602,0.7345,0.64963,0.85036,0.64307,0.71234,0.54732,0.62147,1.51977,0.79465,0.9483,0,0.0003268,0.0003268,0.0003268
70,14039.1,0.57319,1.46522,0.79774,0.94229,0,0.87161,0.65542,0.73415,0.64946,0.88321,0.63063,0.70903,0.54719,0.62474,1.51985,0.80238,0.94874,0,0.0003169,0.0003169,0.0003169
71,14234.8,0.57132,1.4631,0.79033,0.9447,0,0.85473,0.6776,0.73958,0.65411,0.84046,0.66453,0.7178,0.55046,0.62335,1.5188,0.77996,0.94633,0,0.000307,0.000307,0.000307
72,14431.2,0.56793,1.45123,0.78138,0.94258,0,0.87983,0.65852,0.73823,0.65354,0.88092,0.63969,0.71466,0.55186,0.61766,1.51196,0.7843,0.94329,0,0.0002971,0.0002971,0.0002971
73,14627,0.56732,1.44632,0.77742,0.94081,0,0.85545,0.67841,0.74633,0.66183,0.84151,0.66557,0.72269,0.55852,0.61519,1.5131,0.77281,0.94252,0,0.0002872,0.0002872,0.0002872
74,14829.5,0.56753,1.4484,0.77566,0.94109,0,0.87969,0.66268,0.746,0.66156,0.86504,0.64999,0.72177,0.5616,0.61255,1.5031,0.76514,0.94071,0,0.0002773,0.0002773,0.0002773
75,15027,0.56096,1.4159,0.75244,0.9357,0,0.75438,0.71807,0.74293,0.65769,0.7389,0.70085,0.71757,0.55489,0.61095,1.50623,0.76378,0.93807,0,0.0002674,0.0002674,0.0002674
76,15224.5,0.56143,1.44267,0.77223,0.93908,0,0.89945,0.63426,0.74624,0.66104,0.88406,0.62068,0.72284,0.56232,0.60696,1.50085,0.75521,0.93867,0,0.0002575,0.0002575,0.0002575
77,15420.7,0.55388,1.40888,0.73994,0.9347,0,0.89267,0.63915,0.73065,0.6463,0.87852,0.62495,0.70659,0.55118,0.60785,1.50079,0.75392,0.93856,0,0.0002476,0.0002476,0.0002476
78,15616.2,0.55714,1.42387,0.74926,0.93491,0,0.90391,0.63352,0.74832,0.66273,0.8936,0.61777,0.72347,0.56352,0.6062,1.49412,0.74386,0.93843,0,0.0002377,0.0002377,0.0002377
79,15818.2,0.5576,1.41216,0.74792,0.9376,0,0.86582,0.66901,0.75384,0.6659,0.85205,0.65628,0.73195,0.56918,0.60252,1.49146,0.74639,0.9378,0,0.0002278,0.0002278,0.0002278
80,16017.7,0.55478,1.40825,0.73602,0.93412,0,0.86849,0.66859,0.75079,0.66631,0.85824,0.65568,0.72833,0.56636,0.60312,1.48721,0.74543,0.9386,0,0.0002179,0.0002179,0.0002179
81,16216.2,0.55726,1.41406,0.74089,0.93493,0,0.86949,0.66436,0.75641,0.67268,0.86079,0.64742,0.73309,0.56728,0.60427,1.48333,0.73954,0.93865,0,0.000208,0.000208,0.000208
82,16412.4,0.54729,1.38801,0.72888,0.92897,0,0.90182,0.66628,0.77568,0.68998,0.88863,0.65364,0.75227,0.58378,0.59927,1.4769,0.73116,0.93525,0,0.0001981,0.0001981,0.0001981
83,16613.4,0.55236,1.41011,0.73348,0.93378,0,0.86959,0.67284,0.75875,0.67469,0.87437,0.64948,0.74045,0.5737,0.5999,1.48571,0.72948,0.93437,0,0.0001882,0.0001882,0.0001882
84,16808.5,0.55185,1.39404,0.72452,0.93273,0,0.88555,0.66939,0.75196,0.66572,0.87743,0.65454,0.72885,0.56605,0.59524,1.47645,0.72268,0.93124,0,0.0001783,0.0001783,0.0001783
85,17007.6,0.55452,1.41129,0.72801,0.93438,0,0.89382,0.6738,0.75295,0.66999,0.88263,0.65885,0.7283,0.56668,0.59258,1.47465,0.72383,0.93028,0,0.0001684,0.0001684,0.0001684
86,17207.3,0.5448,1.4022,0.71959,0.93249,0,0.89765,0.6508,0.75834,0.679,0.89399,0.62758,0.73343,0.57443,0.59152,1.46963,0.71725,0.93057,0,0.0001585,0.0001585,0.0001585
87,17403,0.54651,1.38622,0.70612,0.93137,0,0.84515,0.70446,0.75547,0.67632,0.83087,0.69067,0.73161,0.57318,0.59022,1.46617,0.71118,0.93135,0,0.0001486,0.0001486,0.0001486
88,17603,0.54151,1.36524,0.70064,0.92638,0,0.89038,0.68195,0.75241,0.67415,0.87508,0.6684,0.72812,0.56848,0.58823,1.4676,0.71218,0.92919,0,0.0001387,0.0001387,0.0001387
